,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
273,3500,4,1,2,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0
166,7800,3,1,1,1.0,0.0,1.0,0.0,1.0,2,1.0,2.0
328,4500,3,2,2,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0
539,2990,2,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0
134,7000,3,1,1,1.0,0.0,1.0,0.0,0.0,2,1.0,1.0
306,4840,3,1,2,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
484,3040,2,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
530,1950,3,1,1,0.0,0.0,0.0,1.0,0.0,0,0.0,2.0
504,3185,2,1,1,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
319,3000,4,1,3,1.0,0.0,1.0,0.0,1.0,2,0.0,1.0
243,2550,3,1,2,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0
189,3540,2,1,1,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0
475,3000,2,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
510,2880,3,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
58,7680,4,2,4,1.0,1.0,0.0,0.0,1.0,1,0.0,1.0
474,4352,4,1,2,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0
252,9860,3,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
21,7155,3,2,1,1.0,1.0,1.0,0.0,1.0,2,0.0,2.0
313,3680,3,2,2,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
459,3500,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
160,6210,4,1,4,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0
276,4400,2,1,1,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0
191,10700,3,1,2,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0
385,3640,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
413,1950,3,2,2,1.0,0.0,1.0,0.0,0.0,0,1.0,2.0
491,2640,2,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
343,4080,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
308,4046,3,1,2,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0
130,4800,3,1,1,1.0,1.0,1.0,0.0,0.0,0,0.0,2.0
99,6000,4,1,3,1.0,1.0,1.0,0.0,0.0,0,1.0,2.0
372,3180,3,1,2,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0
87,3960,3,1,1,1.0,0.0,1.0,0.0,0.0,2,0.0,1.0
458,3850,3,1,2,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
330,4050,2,1,2,1.0,1.0,1.0,0.0,0.0,0,1.0,2.0
214,4350,2,1,1,1.0,0.0,1.0,0.0,0.0,0,0.0,2.0
466,3090,3,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
121,7231,3,1,2,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0
20,4320,3,1,2,1.0,0.0,1.0,1.0,0.0,2,0.0,1.0
71,6000,4,2,4,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
106,5450,4,2,1,1.0,0.0,1.0,0.0,1.0,0,1.0,1.0
270,4500,3,2,3,1.0,0.0,0.0,1.0,0.0,1,0.0,0.0
435,4040,2,1,1,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0
102,5500,3,2,4,1.0,1.0,0.0,0.0,1.0,1,0.0,1.0
